id, type, attributes
0,  orange orc, hoodie orange / laser eyes red 
1,  orange orc, eyes big / mohawk red
2,  deathbot, eyes left / hoodie orange
3,  deathbot, eyes deathbot / mohawk purple
4,  gray, eyes right / hoodie purple / 3d glasses
5,  gray, eyes right / cap terminal 2
6,  alien, eyes left / hoodie
7,  alien, hoodie / laser eyes red
8,  alien, eyes left / mohawk 
9,  alien, eyes right / cap ordinal
10,  alien, 3d glasses / mohawk purple
11,  alien, eyes big / bandana
12,  golden, eyes right / crown
13,  golden, 3d glasses / crown
14,  golden, crown / laser eyes red
15,  golden, eyes left / vr /  crown
16,  golden, eyes zombie / crown
17,  golden, eyes monobrow / crown
18,  pepe, eyes pepe / cap mcb
19,  pepe block, eyes pepe
20,  greener orc, eyes monobrow / cap terminal
