id, type, attributes
0, rock safemode, bandana2
1, rock safemode, top hat
2, rock memepool,
3, rock memepool, 3d glasses
4, rock pepe,
5, rock pepe, cap mcb / regular shades
6, rock pepe, mohawk purple
7, rock pink, cap mcb
8, rock pink, mohawk blonde
9, rock alien, bandana
10, rock alien, headband
11, rock alien, cap
12, rock alien, mohawk pink / regular shades
13, rock golden, cap mcb
14, rock golden, lasereyes red
15, rock golden, bandana / eyes polarized
16, rock golden, mohawk red
17, rock golden, mohawk blonde
18, rock golden block, lasereyes red
19, rock 1bit block,
20, rock 1bit,
