id, type, attributes
0, alien, hoodie
1, alien, hoodie / laser eyes red
2, alien, hoodie / eyes left
3, alien, cap mcd red
4, golden, crown
5, gold orc, crown
6, golden, laser eyes red
7, pepe,
8, pepe, cap ordinal
9, pepe, hoodie
10, pepe block,
11, safemode, cap ordinal
12, boned, peak spike
13, pink small, bob blonde small / shades cool / earring
14, squiggle, laser eyes red
15, squiggle, eyes left
16, punk, peakspike / lasereyes-punk
17, rock alien, headband
18, rock alien, crown
19, rock alien, cap mcd red
20, rock golden block, 3d glasses

