id, category, name, more_names
0, base, maxibiz, 
1, base, black, 
2, base, default, 
3, base, albino, 
4, base, brown, 
5, base, dark, 
6, base, demon, 
7, base, golden, 
8, base, golden block, 
9, base, gray, 
10, base, gray block, 
11, base, green, 
12, base, memepool, 
13, base, pepe, 
14, base, alien, 
15, base, deathbot, 
16, base, safemode, 
17, base, pink, 
18, base, zombie, 
19, eyes, 3dglasses, 
20, eyes, eyes alien, 
21, eyes, eyes big, 
22, eyes, eyes blend, 
23, eyes, eyes blue, 
24, eyes, eyes bored, 
25, eyes, eyes cool, 
26, eyes, eyes demon, 
27, eyes, eyes green, 
28, eyes, eyes left, 
29, eyes, eyes monobrow, 
30, eyes, eyes pepe, 
31, eyes, eyes polarized, 
32, eyes, eyes rainbow, 
33, eyes, eyes red, 
34, eyes, eyes zombie, 
35, eyes, lasereyes blue, 
36, eyes, lasereyes gold, 
37, eyes, lasereyes green, 
38, eyes, lasereyes red, 
39, eyes, vr, 
40, eyes, eyes left blue, 
41, eyes, eyes big blue, 
42, eyes, maxibiz lasereyes red, 
43, eyes, maxibiz lasereyes green, 
44, eyes, maxibiz lasereyes blue, 
45, accessories, bandana, 
46, accessories, bandana2, 
47, accessories, cowboyhat, 
48, accessories, headband, 
49, accessories, knittedcap, 
50, accessories, knittedcap2, 
51, accessories, tophat, 
52, accessories, cap, 
53, accessories, cap mcb, 
54, accessories, cap mcd red, 
55, accessories, cap mcd white, 
56, accessories, cap mcd black, 
57, accessories, cap burgerking, 
58, accessories, cap subway, 
59, accessories, crown, 
60, accessories, halo, 
61, hair, mohawk, 
62, hair, mohawk blonde, 
63, hair, mohawk purple, 
64, hair, mohawk red, 
65, hair, mohawk2, 
66, hair, mohawk2 green, 
67, hair, mohawk2 pink, 
68, hair, mohawk2 red, 
69, hair, peakspike, 
70, hair, peakspike blonde, 
71, hair, peakspike purple, 
72, hair, peakspike red, 
73, hair, wildhair, 
74, hair, wildhair blonde, 
75, hair, wildhair red, 
76, hair, wildhair white, 
77, hair, bob blonde, 
